우선순위 기초영단어 1600개 총정리  ,,,,영공카페 http://caf?.naver.com/ilovespeech,,
120,help,도와주고 있다 ,,170,oneself,자기자신 
121,country,시골 ,,171,today,오늘 
122,learn,배우고 있다 ,,172,young,젊은 
123,again,또다시 ,,173,stop,멈추다 
124,would,할 것이다 ,,174,read,읽는다 
125,begin,시작한다 ,,175,place,"장소,_놓다"
126,first,처음의 ,,176,understand,이해한다 
127,speak,말한다 ,,177,buy,사다
128,only,단지 ,,178,family,가족 
129,lot,"많음,다수",,179,become,_이되다
130,last,"최후에 ,지난번의",,180,always,항상 
131,must,해야한다 ,,181,every,모든 
132,something,무언가 ,,182,girl,소녀 
133,down,내려가는 ,,183,which,어느쪽 
134,boy,소년 ,,184,really,정말로 
135,Korea,한국 ,,185,away,떨어져서 
136,try,노력한다 ,,186,visit,방문한다 
137,play,"놀다,연주하다 ",,187,please,"부디,기쁘게하다"
138,walk,걸어간다 ,,188,stay,머무르다
139,just,방금 ,,189,small,작은 
140,never,결코_않다,,190,world,세계 
141,morning,아침 ,,191,car,자동차 
142,soon,곧,,192,hope,바라다
143,Korean,한국인 ,,193,been,be의 과거분사형
144,call,부른다 ,,194,start,출발한다 
145,hear,듣다,,195,word,단어 
146,write,쓰다,,196,sit,앉아있다 
147,answer,대답한다 ,,197,any,"어떤 ,약간의"
148,student,학생 ,,198,let,"_ 시키다 ,허락하다"
149,leave,떠난다 ,,199,teacher,선생님 
150,big,큰 ,,200,eat,먹다
,,,,,,
201,oh,"오,어머나!",,251,wife,아내 
202,beautiful,아름다운 ,,252,history,역사
203,window,창 ,,253,light,빛 
204,sure,확실한 ,,254,along,따라 
205,eye,눈 ,,255,flower,꽃 
206,its,그것의 ,,256,sister,동생 
207,almost,거의 ,,257,farm,농장 
208,Sunday,일요일 ,,258,dear,친애하는 
209,without,없이 ,,259,carry,운반한다 
210,own,자신의 ,,260,outside,바깥으로 
211,such,그런 ,,261,winter,겨울 
212,during,동안에 ,,262,second,두번째 
213,fast,"빠른,빨리",,263,bag,가방 
214,those,저것들 ,,264,send,보낸다 
215,river,강 ,,265,chair,의자 
216,perhaps,아마도 ,,266,tired,피곤한 
217,white,하얀 ,,267,Saturday,토요일 
218,brother,형 ,,268,brown,갈색 
219,shout,"외침,소리치다 ",,269,foot,다리 
220,example,보기 ,,270,son,아들 
221,computer,컴퓨터 ,,271,worry,걱정하다
222,sun ,태양 ,,272,high,높은 
223,off,떨어져 ,,273,shall,할 것이다 
224,music,음악 ,,274,moon,달 
225,thousand,천 ,,275,side,옆으로 
226,good-bye,안녕,,276,violin,바이올린 
227,newspaper,신문 ,,277,breakfast,아침식사 
228,ten,10,,278,between,의 사이에 
229,land,육지 ,,279,front,앞쪽 
230,far,멀리 ,,280,drink,마신다 
231,both,양쪽 ,,281,sing,노래한다 
232,hotel,호텔 ,,282,chance,기회 
233,busy,바쁜 ,,283,yesterday,어제 
234,everything,모든것 ,,284,fire,불(화재) 
235,cat,고양이 ,,285,air,"공기 ,공중"
236,afraid,두려운 ,,286,star,별 
237,nothing,아무것도 _않다,,287,sad,슬픈 
238,someone,누군가 ,,288,angry,성난 
239,bed,침대 ,,289,ever,"언젠가 ,이제까지"
240,garden,정원 ,,290,famous,유명한 
241,trip,여행 ,,291,hot,뜨거운 
242,quite,"아주,꽤",,292,climb,오르다
243,present,선물 ,,293,behind,의 뒤에 
244,uncle,아저씨 ,,294,egg,달걀 
245,seem,처럼 보인다 ,,295,card,카드 
246,travel,여행한다 ,,296,math,수학 
247,cook,"요리한다 ,요리사",,297,free,"여유로운 ,무료의"
248,face,얼굴 ,,298,twenty,20
249,piece,조각,,299,milk,우유 
250,cut,자르다,,300,test,테스트 
,,,,,,
301,pretty,예쁜 ,,351,football,축구 
302,pay,지불하다,,352,lesson,수업 
303,pencil,연필 ,,353,dream,꿈 
304,ring,울리다,,354,Italian,이탈리아의 
305,color,색깔,,355,summer,여름 
306,news ,뉴스 ,,356,dead,죽은 
307,hill,언덕 ,,357,either,어느한쪽 
308,bread,빵 ,,358,whose,누구의 
309,else,그 밖에,,359,plan,계획 
310,nose,코 ,,360,sail,"돛,항해하다"
311,cover,"덮개,덮다 ",,361,careful,조심스러운 
312,fifteen,15,,362,excuse,"용서한다 ,변명"
313,hit,치다,,363,follow,따라간다 
314,Indian,인도(사람)의 ,,364,touch,"감동시키다,접촉"
315,TRUE,진실한 ,,365,ski,스키 
316,husband,남편 ,,366,speech,연설 
317,desk,책상 ,,367,toward,의 쪽으로 
318,black,검은 ,,368,corner,모퉁이 
319,song,노래 ,,369,plant,"심다,식물 "
320,wrong,"틀린,나쁜",,370,maybe,어쩌면 
321,mistake,"잘못,과실,실수하다",,371,special,특별한 
322,restaurant,레스토랑 ,,372,useful,유용한 
323,carefully,조심스럽게 ,,373,Christmas,크리스마스 
324,yet,아직 ,,374,crowd,군중 
325,everybody,모두 ,,375,rock,바위
326,horse,말 ,,376,reason,이유 
327,boat,보트 ,,377,science,과학 
328,rich,부유한 ,,378,museum,박물관 
329,kitchen,부엌 ,,379,wonder,"의아해한다 ,놀람"
330,round,둥근 ,,380,dinner,저녁식사 
331,Monday,월요일 ,,381,around,의 주위에 
332,daughter,딸 ,,382,over,위에 
333,homework,숙제 ,,383,nice,멋진 
334,bank,은행 ,,384,letter,편지 
335,baby,아기 ,,385,night,밤 
336,dance,춤춘다 ,,386,another,또다른 
337,album,앨범 ,,387,three,3
338,lion,사자 ,,388,bedroom,침실 
339,body,몸 ,,389,same,같은 
340,thirty,30,,390,woman,여성 
341,glass,컵(유리) ,,391,where,어디에서 
342,third,3번째 ,,392,near,가까이 
343,airport,공항 ,,393,these,이것들 
344,player,선수,,394,week,주 
345,cave,동굴 ,,395,few,아주조금의 
346,hurry,서두른다 ,,396,often,종종 
347,hospital,병원 ,,397,room,방 
348,Dr.,"_박사,_선생",,398,bell,"종,방울"
349,company,"회사 ,친구",,399,tree,나무 
350,rest,"휴식,쉬다",,400,train,열차 
,,,,,,
401,life,"생활,인생 ",,451,animal,동물 
402,picture,"그림,사진",,452,fly,"날다,파리"
403,city,도시 ,,453,question,질문 
404,each,각각의 ,,454,game,게임 
405,sixth,6번째의 ,,455,bring,가져오다
406,hour,시간 ,,456,minute,분 
407,most,"가장많은,대개의",,457,anything,어떤 것 
408,fourteen,14,,458,lunch,점심 
409,poster,벽보,,459,through,통해서 
410,sometimes,때때로 ,,460,low,낮은 
411,meet,만난다 ,,461,fine,좋은 
412,watch,보다,,462,grandmother,할머니 
413,inch,인치 ,,463,evening,밤 
414,smile,미소짓다,,464,water,물 
415,should,해야한다 ,,465,afternoon,오후 
416,better,더 나은 ,,466,stand,서 있다 
417,does,한다 ,,467,need,필요하다 
418,food,음식 ,,468,listen,귀를 기울인다 
419,month,달 ,,469,part,부분 
420,class,"학급 ,수업",,470,together,다같이 
421,best,최고의.가장 좋은 ,,471,story,이야기 
422,dog,개 ,,472,eighteen,18
423,later,나중에 ,,473,course,과정 
424,fish,물고기 ,,474,even,심지어 
425,cry,"외치다,소리내어 울다",,475,hello,안녕하세요 
426,hand,손 ,,476,station,역 
427,England,영국 ,,477,ours,우리들의 것 
428,great,큰 ,,478,interest,"흥미를 갖게 한다 ,관심"
429,ago,_전에,,479,park,공원 
430,thirteen,13,,480,bird,새 
431,bus,버스 ,,481,parent,부모님 
432,fourth,네째의 ,,482,glad,기쁜 
433,town,도시 ,,483,remember,기억한다 
434,still,아직 ,,484,turn,회전한다 
435,feel,느낀다 ,,485,arrive,도착한다 
436,move,움직이다,,486,enough,충분한 
437,wait,기다린다 ,,487,doctor,"박사, 의사 "
438,love,사랑한다 ,,488,fall,떨어진다 
439,road,도로 ,,489,street,거리 
440,Mrs.,_부인,,490,leader,지도자
441,interesting,"재미있는,흥미있는 ",,491,able,_할 수있는
442,glove,장갑 ,,492,usually,대개 
443,seventy,70,,493,catch,잡는다 
444,cream,크림 ,,494,keep,지킨다 
445,mask,가면 ,,495,eleventh,11번째의 
446,mean,의미한다 ,,496,spring,봄 
447,runner,주자,,497,while,동안에 
448,pool,"수영장,물 웅덩이 ",,498,American,미국인 
449,shop,가게 ,,499,idea,생각 
450,show,"보이다,아내하다",,500,forget,잊어버린다 
,,,,,,
501,sleep,자다,,551,hat,모자 
502,tomorrow,내일 ,,552,quick,빠른 
503,America,미국 ,,553,Tuesday,화요일 
504,sorry ,미안한,,554,club,클럽 
505,bad,나쁜 ,,555,close,닫다
506,eighty,80,,556,since,이후부터 
507,job,"일 ,직업",,557,print,프린트 
508,sea,바다 ,,558,king,왕 
509,door,문 ,,559,seven,7
510,open,열다,,560,cake,케이크 
511,paper,신문(종이) ,,561,balloon,풍선 
512,five,5,,562,ninth,9번째 
513,cold,추운 ,,563,movie,영화 
514,Miss,"_양,_선생님",,564,building,건물 
515,large,큰 ,,565,east,동쪽에 
516,laugh,웃다,,566,meeting,모임 
517,ninety,90,,567,June,6월 
518,plane,비행기 ,,568,twelve,12
519,once,"한때,한번",,569,o'clock,시 
520,party,파티 ,,570,Wednesday,수요일 
521,early,일찍 ,,571,dark,어두운 
522,late,늦은 ,,572,bicycle,자전거 
523,difficult,어려운 ,,573,hundred,백 
524,everyone,모든사람 ,,574,college,대학 
525,happen,(우연히)일어나다,,575,heart,심장 
526,finish,끝내다,,576,lady,"부인 ,숙녀"
527,teach,가르치다,,577,four,4
528,mountain,산 ,,578,eleven ,11
529,grow,성장한다 ,,579,radio,라디오 
530,sound,소리,,580,indoor,실내의 
531,change,바꾼다 ,,581,lake,호수 
532,suddenly,갑자기,,582,rain,비
533,wonderful,"놀라운,훌륭한",,583,drive,운전하다
534,birthday,생일 ,,584,tennis,테니스 
535,easy,쉬운,,585,under,의 아래에 
536,important,중요한 ,,586,shirt,셔츠 
537,earth,지구 ,,587,die,죽다
538,nine,9,,588,gold,금 
539,top,꼭대기 ,,589,ship,배 
540,table,탁자 ,,590,sky,하늘 
541,short,짧은 ,,591,hers,그녀의 것 
542,break,"부수다,깨다",,592,warm,따뜻한 
543,tea ,차 ,,593,reader,독자 
544,notebook,노트 ,,594,clothes,옷 
545,six ,6,,595,seat,자리 
546,ball,공 ,,596,coat,상의 
547,eighth,여덟 번째 ,,597,poor,가난한 
548,already,이미 ,,598,hi,안녕
549,doll,인형 ,,599,store,가게 
550,pound,파운드 ,,600,across,가로질러 
,,,,,,
601,head,머리 ,,651,tall,키가 큰 
602,believe,믿다,,652,several,몇몇의 
603,library,도서관 ,,653,voice,소리 
604,holiday,휴일 ,,654,seventh,제 7의 
605,lately,최근에는 ,,655,win,이기다
606,blue,"파란,우울한 ",,656,snow,눈 
607,ground,"땅,운동장",,657,island,섬 
608,hold,"쥐다,개최하다",,658,sell,팔다
609,end,끝 ,,659,full,"가득한,충분한"
610,spend,"소비하다,보내다",,660,left,왼쪽의
611,box,상자 ,,661,aunt,아주머니 
612,coffee,커피 ,,662,paint,그리다
613,field,들판 ,,663,though,비록 _일지라도
614,strong,강한 ,,664,care,걱정한다 
615,sir,"_님,선생님",,665,jump,뛴다 
616,swim,헤엄치다,,666,reach,도착하다
617,September,9월 ,,667,hole,구멍 
618,pen,펜 ,,668,red,빨간 
619,seventeen,17,,669,floor,마루 
620,camera,카메라 ,,670,inside,내측에 
621,phone,전화를 건다 ,,671,mom,엄마 
622,mile,마일 ,,672,village,마을 
623,eight,8,,673,quiet,조용한 
624,cup,컵 ,,674,golden,금(금발)의 
625,sick,"병난,아픈",,675,skate,스케이트 
626,member,회원 ,,676,wood,숲 
627,mind,마음 ,,677,person,사람 
628,return,돌아온다 ,,678,strange,이상한 
629,baseball,야구 ,,679,wear,입고 있다 
630,until,까지 ,,680,trouble,어려움 
631,ready,준비가 된 ,,681,problem,문제 
632,pull,잡아당기다,,682,invite,초대하다
633,alone,혼자서 ,,683,language,언어 
634,sport,스포츠 ,,684,lose,지다
635,twelfth,12번째 ,,685,dish,접시 
636,tape,테이프 ,,686,different,다른 
637,livingroom,거실,,687,surprise,놀라게 하다 
638,build,짓다,,688,welcome,환영하다 
639,dollar,달러 ,,689,decide,결심하다
640,sixty,60,,690,sixteen,16
641,half,반 ,,691,dictionary,사전 
642,ride,타다,,692,shake,흔들다
643,clean,청소한다 ,,693,foreign,외국의 
644,telephone,전화 ,,694,tenth,10번째의 
645,wash,씻다,,695,July,6월 
646,among,사이에 ,,696,bear,곰 
647,O.K.,"좋아,됐어",,697,culture,문화 
648,fun,즐거움 ,,698,ear,귀 
649,office,사무소 ,,699,hungry,배고픈 
650,pass,통과한다 ,,700,noise,소음
,,,,,,
701,bye,"잘가,안녕",,751,guess,"생각하다,추축하다 "
702,church,교회 ,,752,treat,"다루다,대접하다"
703,easily,쉽게 ,,753,Chinese,중국 사람 
704,cloud,구름 ,,754,wild,야생의 
705,cool,서늘한 ,,755,record,레코드 
706,arm,팔 ,,756,factory,공장 
707,pocket,호주머니,,757,mix,섞는다 
708,ice,아이스크림 ,,758,agree,동의하다 
709,fifty,50,,759,information,정보 
710,farmer,농부,,760,save,저장하다
711,moment,순간 ,,761,shopkeeper,점포주인 
712,ticket,표 ,,762,popular,인기있는 
713,basketball,농구 ,,763,forest,숲 
714,line,"선,줄",,764,future,미래 
715,shoe,구두 ,,765,autumn,가을 
716,chocolate,쵸콜렛 ,,766,coin,동전
717,mine,나의 것 ,,767,choose,선택하다
718,fight,"싸우다,전투",,768,vacation,휴가 
719,November,11월 ,,769,continue,계속한다 
720,police,경찰 ,,770,southern,남쪽의 
721,Mt. (mount),산 . ( 산 ) ,,771,business,"일 ,사업"
722,taxi,택시 ,,772,introduce,소개한다 
723,unhappy,불운한 ,,773,practice,연습 
724,nineteen,19,,774,neighbor,이웃 
725,miss,놓치다,,775,amount,총계 
726,bright,빛나는 ,,776,notice,"주의,통지,알아차리다"
727,meat,고기 ,,777,order,"주문 ,명령,순서"
728,marry,결혼하다,,778,dangerous,위험한 
729,difference,차이 ,,779,space,"우주 ,공간"
730,heaven,하늘 ,,780,traffic,교통 
731,harvest,수확 ,,781,expensive,고급의 
732,century,세기 ,,782,machine,기계 
733,soldier,병사 ,,783,key,열쇠
734,sign,표식 ,,784,hair,머리카락 
735,August,8월,,785,safe,안전한 
736,age,"나이,시대",,786,bench,벤치 
737,Canada,캐나다 ,,787,skirt,치마
738,kill,죽이다,,788,middle,한가운데 
739,weather,날씨 ,,789,piano,피아노 
740,past,"지나서,과거",,790,May,5월
741,excite,흥분시키다,,791,fifth,5번째 
742,fact,사실 ,,792,slow,느린
743,television,TV ,,793,page,페이지 
744,stone,돌 ,,794,mouth,입 
745,foreigner,외국인 ,,795,film,영화 
746,however,그러나 ,,796,mark,"점수,표시 "
747,accident,사고 ,,797,blackboard,칠판 
748,finally,최후로 ,,798,scientist,과학자 
749,pole,극 ,,799,robot,로보트 
750,idle,게으른 ,,800,grass,잔디 
,,,,,,
801,meaning,의미 ,,851,above,의 위에 
802,leg,다리 ,,852,China,중국  
803,December,12월 ,,853,group,그룹 
804,cousin,사촌 ,,854,October,10월 
805,rocket,로켓 ,,855,matter,문제 
806,sandwich,샌드위치 ,,856,guitar,기타 
807,candy,사탕 ,,857,cross,가로질러 가 
808,classroom,교실 ,,858,join,"결합하다,참가하다"
809,number,수 ,,859,April,4월 
810,March,3월 ,,860,bridge,다리 
811,gentleman,신사 ,,861,cent,센트 
812,toy,장난감 ,,862,ill,병든 
813,point,가르키다 ,,863,size,크기 
814,pick,"따다,고르다",,864,bath,목욕 
815,speed,속도 ,,865,pond,연못 
816,knife,칼,,866,pair,한쌍 
817,clock,시계 ,,867,probably,아마도 
818,team,팀 ,,868,Thursday,목요일 
819,hurt,상처를 입히다 ,,869,kilometer,킬로미터 
820,yard,마당 ,,870,yours,당신의 것 
821,spell,철자하다,,871,mad,정신이 이상한 
822,speaker,연사 ,,872,tonight,오늘밤 
823,lawyer,변호사 ,,873,prize,"상,상품"
824,orange,오렌지색의 ,,874,instead,그 대신에 
825,throw,던지다,,875,justice,정의 
826,meter,미터 ,,876,mercy,자비
827,meal,식사 ,,877,discuss,대해서 의논한다 
828,north,북에 ,,878,camp,야영한다 
829,German,독일의,,879,rice,쌀 
830,oil,기름 ,,880,war,전쟁 
831,god,신 ,,881,flight,비행 
832,wind,바람 ,,882,fruit,과일 
833,grandfather,할아버지 ,,883,monkey,원숭이 
834,February,2월 ,,884,million,백만 
835,yellow,노란 ,,885,January,1월 
836,concert,콘서트 ,,886,certainly,"확실히,물론 "
837,Friday,금요일 ,,887,classmate,동급생 
838,center,"중앙,중심",,888,west,서 
839,forty,40,,889,map,지도 
840,heavy,무거운 ,,890,tie,"매다,넥타이 "
841,note,메모,,891,push,밀다
842,weak,약한 ,,892,pen pal,펜팔
843,dry,마른,,893,favorite,가장 좋아하는 
844,supper,저녁식사 ,,894,terrible,"지독한,무시무시한"
845,noon,정오 ,,895,soft,부드러운 
846,anyone,어떤 사람 ,,896,cow,암소 
847,rude,무례한 ,,897,tail,꼬리 
848,normal,정상의 ,,898,aloud,큰소리로 
849,dining-room,식당,,899,wall,벽 
850,south,남쪽 ,,900,dress,옷 
,,,,,,
901,tourist,관광객 ,,951,promise,약속
902,truck,트럭 ,,952,artist,예술가 
903,rise,오르다,,953,nobody,아무도 __아니다(않다)
904,list,목록 ,,954,sentence,문장
905,singer,가수 ,,955,scholar,장학생 
906,lead,"이끌다,안내하다",,956,stupid,바보같은 
907,turtle,바다거북 ,,957,race,인종 
908,sailor,선원 ,,958,rather,차라리 
909,clever,현명한 ,,959,wish,바라다
910,beach,해변 ,,960,drop,떨어뜨리다
911,impressive,인상적인 ,,961,hide,숨기다
912,painting,그림그리기,,962,forward,전방의 
913,set,놓다,,963,diary,일기 
914,receive,받다 ,,964,expect,"기대하다,예상하다"
915,friendly,호의적인 ,,965,international,국제적인
916,blind,눈먼,,966,mayor,시장 
917,loud,큰소리로 ,,967,master,습득하다
918,northern,북의 ,,968,match,"경기,시합,성냥"
919,less,보다 적은,,969,vegetable,야채 
920,dig,파다,,970,borrow,빌리다
921,fill,"채우다,가득하다",,971,straight,곧은 
922,pet,애완동물,,972,precious,귀중한 
923,garbage,쓰레기 ,,973,beyond,넘어서 
924,lucky,행운의 ,,974,twice,두번 
925,finger,손가락 ,,975,celebrate,축하하다
926,lie,"누워 있다,거짓말하다 ",,976,beginning,처음 
927,zoo,동물원 ,,977,below,의 아래 
928,secret,비밀 ,,978,guest,손님 
929,beside,의 곁에 ,,979,plate,접시
930,shape,형태 ,,980,proud,자랑스러운
931,tiny,조그마한 ,,981,wake,깨다
932,United States,미국,,982,season,계절 
933,subject,과목 ,,983,shine,빛나다
934,feeling,감정 ,,984,clear,깨끗한 
935,statue,상 ,,985,control,"관리,억제,억제하다"
936,ancient,옛날의 ,,986,desert,사막 
937,art,예술 ,,987,consist,이루어지다
938,burn,"태우다,타다",,988,symbol,상징 
939,contest,"경쟁,다툼",,989,fantastic,공상적인 
940,case,"경우,사건",,990,monument,기념물 
941,draw,"당기다,그리다",,991,turkey,칠면조 
942,experience,경험 ,,992,mouse,쥐 
943,date,"날짜,데이트",,993,frog,개구리 
944,explain,설명하다,,994,against,반대하여 
945,habit,습관 ,,995,suit,적합하다 
946,boring,지루한 ,,996,modern,현대적인 
947,bother,괴롭히다,,997,ghost,유령 
948,cheese,치즈 ,,998,government,정부 
949,gesture,몸짓,,999,chicken,"병아리,닭고기"
950,battle,전투,,1000,engine,"기관,기관차"
,,,,,,
1001,smoke,연기 ,,1051,principal,교장 
1002,simple,간단한 ,,1052,universe,우주 
1003,madam,부인 ,,1053,generally,일반적으로 
1004,nearly,거의 ,,1054,discover,발견하다
1005,price,값 ,,1055,engineer,기술자 
1006,lazy,게으른 ,,1056,value,가치 
1007,smell,"냄새,냄새맡다",,1057,stick,지팡이 
1008,Spain,스페인 ,,1058,ambitious,야심적인 
1009,lovely,사랑스러운,,1059,diligent,근면한 
1010,stamp,"우표,도장",,1060,forgive,용서하다
1011,sugar,설탕 ,,1061,wander,헤메다 
1012,elect,선거하다,,1062,remove,제거하다
1013,limit,제한,,1063,gun,권총 
1014,whole,"전체 ,전체의",,1064,leaf,잎 
1015,blow,바람이 분다 ,,1065,possible,가능한 
1016,hall,"홀,회관",,1066,lend,빌려주다
1017,pilot,조종사 ,,1067,rabbit,토끼 
1018,bottle,병 ,,1068,law,법률 
1019,power,힘 ,,1069,somewhere,어딘가에 
1020,serve,봉사하다,,1070,umbrella,우산 
1021,hometown,고향 ,,1071,bit,조금 
1022,step,계단,,1072,stranger,낯선 사람 
1023,cheap,싼 ,,1073,advice,조언 
1024,add,더하다,,1074,method,방법 
1025,fat,지방,,1075,appreciate,"감사하다,감상하다"
1026,blood,혈액 ,,1076,adult,성인 
1027,wing,날개 ,,1077,magazine,잡지 
1028,rope,"밧줄,줄",,1078,natural,자연의 
1029,dirty,더러운 ,,1079,endure,"참다,견디다"
1030,fox,여우 ,,1080,talent,재능 
1031,kindness,친절 ,,1081,protect,보호하다
1032,worse,더 나쁜,,1082,program,프로그램 
1033,gate,문 ,,1083,shoulder,어깨 
1034,health,건강 ,,1084,tear,눈물
1035,musician,음악가 ,,1085,pollute,오염시키다
1036,neck,목 ,,1086,throat,목구멍
1037,empty,텅빈,,1087,glory,영광
1038,sacrifice,희생 ,,1088,climate,기후 
1039,silver,은 ,,1089,pollution,오염 
1040,officer,"공무원,관리",,1090,unless,만약_아니라면 
1041,none,아무도_않다,,1091,lift,들어올리다 
1042,anyway,어쨌든 ,,1092,bark,짖다 
1043,sunshine,햇빛,,1093,belong,속하다
1044,especially,특히 ,,1094,raise,올리다
1045,opera,오페라 ,,1095,character,성격.인격
1046,peace,평화 ,,1096,deep,깊은 
1047,state,상태 ,,1097,form,"모양,형식"
1048,shut,을(를)닫는다 ,,1098,candle,양초
1049,captain,선장 ,,1099,Russian,러시아의 
1050,rule,규칙 ,,1100,funny,우스운
,,,,,,
1101,host,주인 ,,1151,quarrel,말다툼을 하다
1102,although,비록_일지라도,,1152,report,보고하다
1103,area,영역 ,,1153,athlete,운동선수
1104,prince,왕자 ,,1154,bottom,밑 
1105,rush,돌진하다,,1155,condition,조건 
1106,theater,극장 ,,1156,sightsee,구경하다
1107,thought,생각 ,,1157,fare,요금 
1108,hang,"걸다,매달다",,1158,giant,거대한 
1109,suppose,"상상하다,생각하다",,1159,Spanish,스페인 말 
1110,university,대학 ,,1160,imagine,상상하다 
1111,event,"사건 ,행사",,1161,wet,젖은
1112,gift,선물 ,,1162,act,"행위,행동하다"
1113,message,메세지 ,,1163,clerk,사무원 
1114,metal,금속 ,,1164,grown-up,"어른,성숙한 "
1115,communicate,전달하다,,1165,healthy,건강한 
1116,cost,"비용,(비용이)들다",,1166,complain,불평하다
1117,appear,나타나다,,1167,weekend,주말 
1118,medicine,약 ,,1168,coach,코치 
1119,memory,기억한다 ,,1169,rose,장미 
1120,nervous,신경질이 ,,1170,upon,_위에
1121,queen,여왕 ,,1171,dozen,12개
1122,custom,관습 ,,1172,copy,"복사하다,사본"
1123,create,창조하다,,1173,curtain,커튼 
1124,remain,남아있다 ,,1174,market,시장 
1125,cultural,문화의 ,,1175,wine,포도주 
1126,harmony,조화,,1176,jacket,상의 
1127,model,모델 ,,1177,everyday,일상의 
1128,servant,하인,,1178,post,"우편,우송하다"
1129,prepare,준비하다,,1179,double,두배의 
1130,challenge,도전하다,,1180,asleep,잠들어 있는
1131,survive,살아남다,,1181,alphabet,알파벳 
1132,position,위치 ,,1182,racket,라켓 
1133,praise,칭찬하다,,1183,whom,"누구를,누구에게"
1134,hero,주인공 ,,1184,apartment,아파트 
1135,attractive,매혹적인 ,,1185,headache,두통 
1136,favor,"호의,부탁",,1186,sale,판매 
1137,palace,궁전 ,,1187,salt,소금 
1138,repeat,반복하다 ,,1188,"cookie,cooky","쿠키,비스킷"
1139,citizen,시민 ,,1189,tiger,호랑이 
1140,unite,결합하다,,1190,soup,스프 
1141,warn,경고하다 ,,1191,check,"대조,수표,대조하다"
1142,medical,의학의 ,,1192,impossible,불가능한 
1143,devil,악마 ,,1193,everywhere,모든 곳에 
1144,valley,계곡 ,,1194,pants,바지 
1145,breath,숨 ,,1195,wide,넓은
1146,source,근원 ,,1196,storm,폭풍 
1147,harm,해를 끼치다 ,,1197,medal,메달 
1148,wave,물결,,1198,sleepy,졸리운 
1149,pain,아픔 ,,1199,bathroom,욕실 
1150,taste,맛이 난다 ,,1200,ahead,전방에 
,,,,,,
1201,cheer,갈채 ,,1251,mend,고치다
1202,jam,잼 ,,1252,humor,유머 
1203,picnic,소풍 ,,1253,jungle,정글 
